年份,月份,地域,感染率,平均气温(℃),平均露点温度(℃),平均风速(mi/h),最低气温极值(℃),最高气温极值(℃),降水天数,降水量(mm),AQI,社会事件
2005,12,青海省,0.1673,,,,,,,,,
2005,12,宁    夏,0.9160,,,,,,,,,
2005,12,新    疆,1.1019,,,,,,,,,
2006,1,北京市,0.3121,,,,,,,,,
2006,1,天津市,0.3260,,,,,,,,,
2006,1,河北省,0.7649,,,,,,,,,
2006,1,山西省,0.0328,,,,,,,,,
2006,1,内蒙古,0.0377,,,,,,,,,
2006,1,辽宁省,0.0237,,,,,,,,,
2006,1,吉林省,0.0221,,,,,,,,,
2006,1,黑龙江省,0.0105,,,,,,,,,
2006,1,江苏省,0.1097,,,,,,,,,
2006,1,浙江省,0.9004,,,,,,,,,
2006,1,安徽省,0.1275,,,,,,,,,
2006,1,福建省,0.1471,,,,,,,,,
2006,1,江西省,0.1531,,,,,,,,,
2006,1,山东省,0.0292,,,,,,,,,
2006,1,河南省,0.2527,,,,,,,,,
2006,1,湖北省,0.1261,,,,,,,,,
2006,1,湖南省,0.0775,,,,,,,,,
2006,1,广东省,0.0827,,,,,,,,,
2006,1,广    西,0.7511,,,,,,,,,
2006,1,海南省,0.1087,,,,,,,,,
2006,1,重庆市,0.2966,,,,,,,,,
2006,1,四川省,0.2740,,,,,,,,,
2006,1,贵州省,0.2440,,,,,,,,,
2006,1,云南省,1.1551,,,,,,,,,
2006,1,西    藏,0.5053,,,,,,,,,
2006,1,陕西省,0.1317,,,,,,,,,
2006,1,甘肃省,0.4703,,,,,,,,,
2006,1,青海省,0.6262,,,,,,,,,
2006,1,宁    夏,0.5369,,,,,,,,,
2006,1,新    疆,0.0299,,,,,,,,,
2006,2,北京市,0.1560,,,,,,,,,
2006,2,天津市,0.1438,,,,,,,,,
2006,2,河北省,0.7430,,,,,,,,,
2006,2,山西省,0.0238,,,,,,,,,
2006,2,辽宁省,0.0142,,,,,,,,,
2006,2,黑龙江省,0.0026,,,,,,,,,
2006,2,上海市,0.0112,,,,,,,,,
2006,2,江苏省,2.7425,,,,,,,,,
2006,2,浙江省,0.6901,,,,,,,,,
2006,2,安徽省,0.1846,,,,,,,,,
2006,2,福建省,0.0820,,,,,,,,,
2006,2,江西省,0.1717,,,,,,,,,
2006,2,山东省,0.0054,,,,,,,,,
2006,2,河南省,0.1045,,,,,,,,,
2006,2,湖北省,0.4904,,,,,,,,,
2006,2,湖南省,0.3225,,,,,,,,,
2006,2,广东省,0.2023,,,,,,,,,
2006,2,广    西,0.2768,,,,,,,,,
2006,2,海南省,0.0362,,,,,,,,,
2006,2,重庆市,0.3431,,,,,,,,,
2006,2,四川省,0.1206,,,,,,,,,
2006,2,贵州省,0.2011,,,,,,,,,
2006,2,云南省,0.0539,,,,,,,,,
2014,1,北京市,12.1383,-0.89,-15.42,5.44,-13,12.78,0,0,144.5185185,0
2006,2,陕西省,0.0833,,,,,,,,,
2006,2,甘肃省,0.2159,,,,,,,,,
2006,2,青海省,0.3131,,,,,,,,,
2006,2,宁    夏,0.6711,,,,,,,,,
2006,2,新    疆,0.0249,,,,,,,,,
2006,3,北京市,0.8257,,,,,,,,,
2014,2,北京市,5.1683,-0.67,-12.05,4.79,-13,10,3,7.11,205.4782609,0
2006,3,河北省,0.8451,,,,,,,,,
2006,3,山西省,0.0238,,,,,,,,,
2006,3,内蒙古,3.2565,,,,,,,,,
2006,3,辽宁省,0.0687,,,,,,,,,
2006,3,吉林省,0.0110,,,,,,,,,
2006,3,黑龙江省,0.0026,,,,,,,,,
2006,3,上海市,0.0112,,,,,,,,,
